CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,RANGAGEAD,RANGAGEDEM,ADH,RANGADH
3,0,0,A,0,DV,21,8.0,,27,6.0
2,0,0,A,0,DV,21,8.0,,27,6.0
2,0,0,M,0,DV,21,4.0,,30,7.0
3,0,0,A,0,DV,21,5.0,9.0,24,5.0
2,0,0,M,0,DV,21,5.0,,26,6.0
2,0,0,A,0,DV,21,8.0,,27,6.0
2,0,0,A,0,DV,21,5.0,,24,5.0
2,0,0,A,0,DV,21,8.0,,25,6.0
3,0,0,A,0,DV,21,7.0,,25,6.0
2,0,0,A,0,DV,21,5.0,,22,5.0
3,0,0,A,0,DV,21,2.0,8.0,28,6.0
2,0,0,A,0,DV,21,1.0,5.0,21,5.0
2,0,0,A,0,DV,21,3.0,8.0,24,5.0
3,0,0,A,0,DV,21,3.0,8.0,24,5.0
2,0,0,A,0,DV,21,4.0,9.0,24,5.0
2,0,0,M,0,DV,21,7.0,,23,5.0
2,0,0,A,0,DV,21,4.0,9.0,23,5.0
2,0,0,A,0,DV,21,4.0,8.0,20,5.0
2,0,0,A,2,DV,21,7.0,,21,5.0
3,0,0,A,0,DV,21,7.0,,22,5.0
2,0,0,A,2,DV,21,5.0,,23,5.0
2,1757,0,V,0,DV,21,5.0,9.0,23,5.0
4,0,0,C,0,DV,21,7.0,,20,5.0
2,0,0,A,0,DV,21,6.0,,22,5.0
4,0,0,C,0,DV,21,3.0,8.0,24,5.0
2,0,0,M,0,DV,21,3.0,8.0,24,5.0
3,0,0,A,0,DV,21,1.0,5.0,21,5.0
3,0,0,A,2,DV,21,3.0,7.0,18,4.0
4,0,0,C,0,RA,21,2.0,6.0,19,4.0
2,0,0,A,0,DV,21,6.0,9.0,19,4.0
2,2056,0,M,0,DV,21,5.0,9.0,23,5.0
